county,state,Population (2014),Population (2010),% people under 18 (2014),% people over 65 (2014),% female (2014),% white (2014),% black (2014),% asian (2014),% hispanic (2014),% immigrants (2009-2013),"% high school graduate, people over 25 (2009-2013)","% bachelors degree, people over 25 (2009-2013)",# of veterans(2009-2013),"mean travel time to work, mins (2009-2013)",homeownership rate (2009-2013),Per capita money income in past 12 months (2009-2013),median household income (2009-2013),% people below poverty line (2009-2013),land area in square miles (2010),population per square mile (2010),Population  per square mile using 2014 population and 2010 land area
Barbour ,AL,26887,27457,21.2,16.5,46.6,50.2,47.6,0.5,4.5,2.9,73.7,13.4,2120,24.6,67.7,16829,32911,26.7,884.88,31,30.38491095
Bibb ,AL,22506,22915,21,14.8,45.9,76.3,22.1,0.2,2.1,1.2,77.5,12.1,1327,27.6,79,17427,36447,18.1,622.58,36.8,36.14957114
Blount ,AL,57719,57322,23.6,17,50.5,96,1.8,0.3,8.7,4.3,77,12.1,4540,33.9,81,20730,44145,15.8,644.78,88.9,89.51735476
Bullock ,AL,10764,10914,21.4,14.9,45.3,26.9,70.1,0.3,7.5,5.4,67.8,12.5,636,26.9,74.3,18628,32033,21.6,622.81,17.5,17.28295949
Butler ,AL,20296,20947,23.6,18,53.6,53.9,44,0.9,1.2,0.8,76.3,14,1497,24,70.3,17403,29918,28.4,776.83,27,26.12669439
Calhoun ,AL,115916,118572,22.2,16,51.8,75.8,21.1,0.9,3.5,2.4,78.6,16.1,11385,22.5,68.7,20828,39962,21.9,605.87,195.7,191.3215706
Chambers ,AL,34076,34215,21.4,18.3,52.3,58.3,39.5,0.8,2,1.1,75.1,11.8,2691,24.6,67.9,19291,32402,24.1,596.53,57.4,57.12369872
Cherokee ,AL,26037,25989,20.4,20.9,50.2,93,4.6,0.3,1.5,0.7,78.3,12.8,2174,26.9,76.1,22030,34907,21.2,553.7,46.9,47.02365902
Chilton ,AL,43931,43643,24.2,15.2,50.8,87.1,10.6,0.4,7.7,5.2,76,12.9,3308,31.8,74.5,20701,41250,19.5,692.85,63,63.40622068
Choctaw ,AL,13323,13859,20.6,20.8,52.5,56.6,42.4,0.3,0.8,0.3,75.2,11.8,938,33.4,83.7,20323,33941,21.5,913.5,15.2,14.58456486
Clarke ,AL,24945,25833,22.6,18,52.8,54,44.2,0.5,1.3,0.3,78.3,11.2,1583,25.5,72.9,18979,29357,29.3,1238.47,20.9,20.14178785
Clay ,AL,13552,13932,21.6,19.4,50.6,82.8,14.5,0.3,3.4,2.2,76.5,9.2,1076,30.7,75,18694,34002,19,603.96,23.1,22.43857209
Cleburne ,AL,15080,14972,23.3,18.4,50.4,94.5,3.6,0.2,2.5,1.5,76,9,989,31.4,77.6,19108,38019,18.4,560.1,26.7,26.92376361
Coffee ,AL,50909,49948,23.7,15.9,50.5,76.4,17.7,1.6,6.4,5.1,82.4,22.5,6066,21.3,69.9,23380,43768,18.6,678.97,73.6,74.97974874
Colbert ,AL,54543,54428,21.7,18.5,51.8,80.8,16.3,0.5,2.6,2,83.5,17.7,4376,22.7,72.1,21572,39077,17.9,592.62,91.8,92.03705579
Conecuh ,AL,12670,13228,21.4,20.4,51.9,52.1,46.2,0.1,1.8,0.6,77.3,8.8,1101,27.2,79.1,15605,24658,32.7,850.16,15.6,14.90307707
Coosa ,AL,10886,11539,18.3,18.5,49.5,66.1,31.8,0.2,2.3,1.8,75,9.8,934,30.2,83,18493,37277,20.9,650.93,17.7,16.72376446
Covington ,AL,37914,37765,22.1,19.8,51.6,84.3,13,0.5,1.6,1.4,78.4,14.2,3433,23.3,75.1,20391,35869,20,1030.46,36.6,36.79327679
Crenshaw ,AL,13977,13906,22.7,18,51.1,72,24,1.8,1.7,2.3,76.7,12.7,1098,30.3,69.9,21343,36275,19.1,608.84,22.8,22.95677025
Cullman ,AL,81289,80406,22.5,17.6,50.5,96.2,1.4,0.5,4.4,3,79.8,14.8,6167,26.4,75,20760,38847,18.8,734.84,109.4,110.6213598
Dale ,AL,49484,50251,23.6,15.4,50.5,75.2,19.7,1.3,6.1,3.7,84.1,17,6730,20.9,61.1,22685,44889,17.4,561.15,89.6,88.18319522
Dallas ,AL,41711,43820,25.2,15.6,53.7,29,69.5,0.5,1,0.8,77.5,14.2,2897,22,60.9,17245,26519,35.5,978.7,44.8,42.61878001
DeKalb ,AL,71065,71109,24.7,15.7,50.7,92.4,2.1,0.4,14.2,7.5,70.6,10.7,4371,23.3,76.3,18149,37851,19.9,777.09,91.5,91.45015378
Elmore ,AL,80977,79303,23,14,51.5,76,21.2,0.7,2.7,2.1,86.6,21,8364,28.2,75.5,23856,54766,13.4,618.49,128.2,130.926935
Escambia ,AL,37733,38319,22,16.7,48.8,62.2,32.4,0.3,2.1,0.6,76.2,11.7,2995,23.5,72.5,16540,30687,25.4,945.08,40.5,39.92572057
Etowah ,AL,103531,104430,22.1,17.3,51.6,81.2,15.5,0.8,3.7,2.2,81.8,14.8,8638,23.9,72.4,20204,38013,19,534.99,195.2,193.519505
Fayette ,AL,16874,17241,21.7,19.6,50.5,86.2,11.9,0.3,1.4,0.6,74.9,13.2,1221,27.5,74.9,18494,33838,19.9,627.66,27.5,26.88398177
Franklin ,AL,31601,31704,24.3,15.9,50.3,91.9,4.6,0.4,16.1,8.4,72.5,11,1860,26.2,69.5,18888,36415,21.9,633.82,50,49.85800385
Geneva ,AL,26712,26790,22.2,19.2,50.8,87.1,9.7,0.4,3.6,1.8,77.2,10.4,2336,25.6,72.1,20199,35625,21.2,574.41,46.6,46.50336867
Greene ,AL,8553,9045,23.3,17.9,52.5,18.5,80.5,0.2,1,0.2,76.2,12.8,502,28,73.2,14930,24226,32.9,647.11,14,13.21722736
Hale ,AL,15184,15760,23.3,17.3,52.8,40.8,58.1,0.3,1.3,1.2,77.4,12.8,995,27.1,78,18812,30051,26.6,643.94,24.5,23.57983663
Henry ,AL,17190,17302,21.2,20.8,51.8,70.4,27.3,0.7,2.6,2.9,80.1,16.6,1497,26,77.7,21924,41650,14.4,561.75,30.8,30.60080107
Houston ,AL,104193,101547,23.7,16.1,52.1,70,26.7,0.9,3.3,2.4,83.9,19.7,9254,20.8,64.6,23316,40948,18,579.82,175.1,179.6988721
Jackson ,AL,52665,53227,21.7,18.6,50.7,91.5,3.6,0.5,2.9,2.2,74.6,13,4000,26.4,75.2,20486,37634,16,1077.87,49.4,48.86025216
Jefferson ,AL,660793,658466,23.1,14.3,52.8,54,42.9,1.6,3.8,4.1,87.4,30,46613,23.4,64.7,26906,45429,18,1111.28,592.5,594.6233173
Lamar ,AL,14086,14564,21.7,20.5,51.2,87.1,11.3,0.1,1.4,0.6,76.1,9.5,1127,25.7,71.5,19026,36028,22.3,604.85,24.1,23.28841862
Lauderdale ,AL,93096,92709,20.5,18.2,52.1,86.7,10.4,0.9,2.4,2.1,83.8,21.1,7000,24.5,69.9,23510,42844,17.2,667.7,138.8,139.4278868
Lawrence ,AL,33477,34339,21.7,16.8,51.3,78.1,11.4,0.2,2.2,1,77.1,11.9,1891,27.8,80.1,20181,38551,17.5,690.68,49.7,48.46962414
Lee ,AL,154255,140247,21.6,10.3,50.7,70.9,23.7,3.3,3.9,5.1,86.7,32.5,10045,21.4,61.7,23506,43542,22,607.54,230.8,253.9009777
Limestone ,AL,90787,82782,23.4,13.8,49.7,82,13.5,1.4,5.8,4.3,81.5,22.7,6964,26.3,76.6,25020,48619,14.7,559.94,147.8,162.1370147
Lowndes ,AL,10580,11299,23.1,17.4,52.3,25.8,72.9,0.2,1.2,0.2,73.9,14.4,626,30.4,74.9,18368,26230,26.7,715.91,15.8,14.77839393
Macon ,AL,19425,21452,18.3,16.8,54.2,16.7,81.5,0.3,1.5,1.1,80,19.6,1662,23.1,65.7,16826,30724,27.3,608.89,35.2,31.90231405
Madison ,AL,350299,334811,22.4,13.7,51.2,69.4,24.6,2.6,4.7,5.4,90,38.5,34203,21,69.3,31933,58434,12.8,801.59,417.7,437.0052022
Marengo ,AL,20110,21027,23,18.6,53.2,47.4,51,0.3,2.4,0.7,83.7,17.4,1462,22.4,71.3,22072,35079,24,976.88,21.5,20.5859471
Marion ,AL,30271,30776,21.2,20.1,50.4,93.9,4.2,0.3,2.5,1,74.6,9.5,2287,24,75.9,19576,32888,20.9,742.29,41.5,40.78055746
Marshall ,AL,94636,93019,24.5,16.3,50.9,93.7,2.7,0.7,12.9,8,76.2,15.2,7192,23.9,71.9,20382,39526,19.5,565.84,164.4,167.2486922
Mobile ,AL,415123,412992,24,14.5,52.2,60.1,35.3,2,2.8,3.2,83.9,20.7,33586,23.9,66.6,22501,43028,19.8,1229.44,335.9,337.6521018
Monroe ,AL,21947,23068,23.4,17.9,52.6,55.5,41.1,0.4,1.2,0.9,76.1,10.6,1237,23.3,74,15749,29203,28.6,1025.68,22.5,21.39751189
Montgomery ,AL,226189,229363,24,13.3,52.6,38.9,56.7,2.6,3.4,4.3,85.6,31.5,20008,19.3,61.4,24975,44790,21.2,784.25,292.5,288.4144087
Morgan ,AL,119607,119490,23.1,15.9,50.8,83.5,12.5,0.7,7.9,5.1,81.4,19.9,9518,23.7,71.5,23764,44800,15.7,579.34,206.3,206.4538958
Perry ,AL,9826,10591,22.4,17.9,53.4,31.1,67.5,0.4,1.3,0.5,70.2,10.4,670,26.8,67,13716,28209,25.6,719.66,14.7,13.65366979
Pickens ,AL,20365,19746,20.5,17.8,50.6,58.1,40.2,0.3,4.1,0.3,79.7,11,1610,29.3,72,17153,28741,27.2,881.41,22.4,23.1050249
Pike ,AL,33389,32899,19.4,14.1,51.9,58.5,36.9,2.2,2.2,4,81,23,2516,18.7,57.8,19715,33090,27.6,672.09,48.9,49.67935842
Randolph ,AL,22539,22913,22,19.6,51.4,77.6,20.2,0.3,2.9,1.7,72.6,11.1,1598,26.8,72.3,19830,35213,24.5,580.55,39.5,38.82352941
Russell ,AL,59608,52947,25.3,12.5,51.3,53.1,42.9,0.8,5,2.2,80.4,16,5977,23.6,61.3,19678,36143,22,641.14,82.6,92.97189381
St. Clair ,AL,86697,83593,23,15.3,50.1,87.9,9.5,0.8,2.3,1.8,82,15.5,6928,30,81.5,23872,50786,15.2,631.9,132.3,137.2005064
Shelby ,AL,206655,195085,24.4,13,51.2,84,12.1,2.2,6,6,91.2,40.3,13991,29,79,33313,68770,7.9,784.93,248.5,263.2782541
Sumter ,AL,13166,13763,19.7,16.3,55,25.5,73.5,0.4,1.1,0.9,75.5,14.9,706,23.4,64.7,14156,22186,38,903.89,15.2,14.5659317
Talladega ,AL,81322,82291,22.3,16.1,51.4,65.2,32.5,0.4,2.3,1.6,78.9,13,6691,23.9,71.2,19410,35439,22.9,736.78,111.7,110.3748745
Tallapoosa ,AL,41165,41616,21.1,19.6,51.4,70.6,27.3,0.5,2.3,1.9,79.2,16.3,3631,23.9,72.2,21434,39130,19.8,716.52,58.1,57.45129236
Tuscaloosa ,AL,202212,194656,21.1,11.7,51.7,66,31,1.5,3.3,3.5,86.6,27,12198,21.8,64.4,22637,45408,18.9,1321.76,147.3,152.9869265
Walker ,AL,65471,67023,22.1,18.2,51.4,91.3,6.4,0.4,2.3,1.2,76.4,10.5,5353,29.3,75,20698,37566,20.9,791.19,84.7,82.75003476
Washington ,AL,16834,17581,22.5,17,51.2,66,24.6,0.1,1.4,0.9,80.5,9.5,1025,31.8,86.5,20395,42156,18.4,1080.21,16.3,15.58400681
Wilcox ,AL,11098,11670,24.8,17.7,52.4,28.1,71,0.1,1,0.1,76.1,11.1,462,21.6,74.5,13379,23642,39.2,888.5,13.1,12.49071469
Winston ,AL,24150,24484,20.9,20,50.9,96.3,1,0.3,2.9,1.1,72.7,10.4,1721,27,74.9,18995,32900,24,612.98,39.9,39.3976965
Arkansas ,AR,18594,19019,23,17.5,51.6,72.6,24.5,1,3,2.2,84.1,12.4,1389,15.5,67.5,23045,39633,15.8,988.77,19.2,18.8051822
Ashley ,AR,20948,21853,23.6,18.4,51.8,71.9,25.6,0.3,5.2,2.1,84.2,12.2,1370,18.5,75.6,19761,35683,18.9,925.35,23.6,22.63792079
Baxter ,AR,40857,41513,17.8,30,51.8,96.8,0.4,0.6,2,1.9,87.6,16.5,5725,17.1,76.5,21334,35343,15.5,554.28,74.9,73.71184239
Benton ,AR,242321,221339,27,13,50.5,90,1.9,3.4,16.2,10.9,85.8,28.7,16452,20.1,68.6,26715,54515,12.2,847.36,261.2,285.9717239
Boone ,AR,37196,36903,22.6,19.8,50.8,96.3,0.4,0.6,2.3,1.3,85.4,15.4,3280,19.7,72.6,22160,38506,16.6,590.23,62.5,63.01950087
Bradley ,AR,11148,11508,23.4,18.3,51.1,68.3,27.6,0.5,14.3,6.7,76,10.8,765,20.1,68.8,19386,30409,31.3,649.23,17.7,17.17111039
Calhoun ,AR,5202,5368,18.1,19.8,49.2,75.7,22,0.2,3.9,0,80.5,7.4,391,24.9,80,17763,30980,14.9,628.58,8.5,8.275796239
Carroll ,AR,27744,27446,22.1,21.1,50.7,94.5,0.8,0.9,14.6,6.8,84.6,17.3,2961,19.1,73.2,20637,36584,18.8,630.09,43.6,44.03180498
Chicot ,AR,11180,11800,23.2,19.2,50.8,43.5,54.6,0.5,5.6,3.3,74.2,12.6,905,21.4,66.3,16538,26201,33,644.3,18.3,17.35216514
Clark ,AR,22576,22995,19.2,16.1,52.1,73.4,24,0.7,4.4,2.6,86.2,21.4,1804,19.9,63.5,17960,32721,24.3,866.07,26.6,26.06717702
Clay ,AR,15118,16083,20.4,21.4,51.1,97.4,0.6,0.2,1.8,0.9,76.1,9.5,1230,22.8,72.6,18509,31502,20.2,639.47,25.2,23.64145308
Cleburne ,AR,25634,25970,19.8,25.4,50.7,97,0.5,0.3,2.6,2,84.5,16.8,3158,24.9,76.9,23044,40246,15.8,553.69,46.9,46.2966642
Cleveland ,AR,8449,8689,23.4,19.1,51.1,86.6,11.4,0.1,2.2,0.4,84.8,13.8,630,27.4,77.5,20622,39420,17.7,597.78,14.5,14.13396233
Columbia ,AR,23933,24552,21.6,16.6,52,61.1,36.2,0.9,2.7,2.9,85.4,20.3,1508,16.6,68.9,19439,35128,25.4,766.05,32.1,31.24208603
Conway ,AR,21083,21273,23.1,18.3,50.9,85,11.4,0.6,4,1.9,84.5,14.7,1534,22.2,74,20040,35225,24,552.25,38.5,38.17655048
Craighead ,AR,102518,96443,24.9,13,51.3,82.2,14.5,1.1,4.7,3.7,84.9,24.4,6727,17.5,58.3,23138,41393,20.6,707.21,136.4,144.9611855
Crawford ,AR,61697,61948,25.1,15.3,50.7,91.5,1.6,1.6,6.7,4.1,82.2,14.3,5321,22,74.3,19477,39479,20.2,593.09,104.4,104.0263704
Crittenden ,AR,49548,50902,27.9,12.1,52.6,45.9,51.8,0.7,2.3,1.7,79.1,13.9,3541,20.2,56.3,19665,37751,26.3,609.76,83.5,81.25819995
Cross ,AR,17227,17870,24,17.6,51.4,74.9,22.9,0.5,1.9,0.7,79,11.4,1189,23.8,65.4,18701,38085,17.4,616.38,29,27.94866803
Dallas ,AR,7755,8116,22.3,20.5,51.7,56.4,41.3,0.2,2.7,2.5,82.1,10.2,444,20.2,66.4,16838,28931,19.7,667.39,12.2,11.61989242
Desha ,AR,12264,13008,25.6,17.1,53.2,50.1,47.9,0.4,4.8,1.8,76.9,12.7,754,21.5,55.9,19822,28680,30.1,768.15,16.9,15.96563171
Drew ,AR,18622,18509,22.4,16.1,51.2,69.6,28,0.9,2.9,1.9,81.3,19.1,983,20.8,61.2,17057,31171,28.5,828.36,22.3,22.48056401
Faulkner ,AR,120768,113237,23.9,11.2,51.1,84.6,11.3,1.2,4.1,2.9,89.4,27.2,8027,24.2,65.2,24401,50314,14.6,647.88,174.8,186.4048898
Franklin ,AR,17805,18125,23.6,18,50.5,95.2,0.9,0.9,3,0.8,82.1,12.4,1643,25,74,19135,36766,20.5,608.86,29.8,29.24317577
Fulton ,AR,12125,12245,20.4,25.4,50.5,96.8,0.6,0.3,1.2,1.1,83.7,10,1358,25.5,78.1,19326,35522,18.7,618.19,19.8,19.613711
Garland ,AR,97322,96024,20.9,21.7,51.7,87.7,8.5,0.8,5.3,3.6,86.8,20.9,10575,21.7,68.6,23170,39162,20.7,677.78,141.7,143.5893653
Grant ,AR,18144,17853,23.5,16.1,50.3,94.8,2.8,0.4,2.6,1.9,84.9,17.6,1594,29.9,77.8,23239,49004,9.9,631.81,28.3,28.71749418
Greene ,AR,43694,42090,24.6,15,50.8,96.9,0.9,0.3,2.7,1.1,82.8,14.7,3801,20.4,63.3,19652,38413,17.1,577.7,72.9,75.63441232
Hempstead ,AR,22327,22609,26.4,16.3,51.6,66.8,29.9,0.5,12.6,5.7,81.7,14.1,1556,19.7,68,17376,32056,27.4,727.52,31.1,30.68919068
Hot Spring ,AR,33368,32923,21.6,17.2,48.1,85.6,11.6,0.4,3.3,0.9,83.4,12.3,3202,27.7,72.5,19286,41193,14.2,615.2,53.5,54.23927178
Howard ,AR,13500,13789,26.1,16.9,51.3,75.8,20.9,0.7,11,6.2,76,12,875,18.7,63.3,18707,35879,23.2,588.55,23.4,22.93772832
Independence ,AR,36959,36647,24,17,51.3,94.5,2.3,0.8,5.9,3.6,82.5,14.4,2826,19.7,70.6,20289,35026,23.7,763.95,48,48.3788206
Izard ,AR,13486,13696,18.2,25,47.6,95.4,1.8,0.3,1.9,2.3,79.8,11.7,1605,23.4,78,18040,30661,18.7,580.58,23.6,23.22849564
Jackson ,AR,17534,17997,20.4,16.7,50.3,79.6,17.6,0.4,2.9,0.8,75.6,8.8,1352,19.1,67.2,15609,30284,28.4,633.94,28.4,27.65876897
Jefferson ,AR,72297,77435,23.3,15.1,50.8,41.7,55.5,0.9,1.9,1.4,83,17.5,5858,21.3,64.5,19353,37140,23.9,870.75,88.9,83.02842377
Johnson ,AR,26005,25540,24.8,15.8,50.3,93.4,2.1,1.2,13.5,6.3,79.7,14.7,1887,20.5,66.2,19366,31003,20.1,659.8,38.7,39.41345862
Lafayette ,AR,7111,7645,20.2,21.5,51.7,61.1,37.1,0.5,2,0.7,77.5,10.7,534,24.9,72.7,17212,29732,24.1,528.27,14.5,13.46091961
Lawrence ,AR,16931,17415,22.6,19.3,50.5,97.1,1,0.2,1.3,0.6,77.4,10.4,1443,25.1,70.7,15971,32239,25.4,587.61,29.6,28.81332857
Lee ,AR,9860,10424,19.6,16.7,44,43.1,54.2,0.5,2.7,0.8,70.1,7.1,485,20.4,57,12529,25034,31.5,602.62,17.3,16.36188643
Lincoln ,AR,13970,14134,17.8,13.5,38.9,67.7,30.3,0.3,3.6,1.5,73.5,7.9,901,26.2,69.7,15023,32697,27,561.52,25.2,24.87890013
Little River ,AR,12532,13171,22.2,19.5,50.9,75.7,19.7,0.4,3.1,1.4,83.4,10.6,1218,23.4,78,19880,39673,14,532.25,24.7,23.54532644
Logan ,AR,21958,22353,22.4,19.2,50.2,93.7,1.5,1.9,2.7,1.2,81.3,11.7,2058,26,75.4,19046,34996,17.6,708.13,31.6,31.00843066
Lonoke ,AR,71557,68356,26.4,12.6,50.5,90.4,6.2,0.9,4,2.1,86.7,18.2,7426,25.6,73.2,23218,52582,13.2,770.73,88.7,92.8431487
Madison ,AR,15740,15717,23.5,17.5,49.9,95.2,0.4,0.8,5.4,2.3,76.6,10.3,1279,29.6,76.5,18754,35771,22.6,834.26,18.8,18.86701987
Marion ,AR,16367,16653,17.3,26.8,50.3,96.5,0.4,0.3,2.3,2.4,83.6,12.9,2267,24.1,79.5,18188,34494,18.9,597.01,27.9,27.41495117
Miller ,AR,43428,43462,24.1,15.2,50.8,71.7,25.1,0.6,3.1,0.9,85.1,13.9,3406,20.2,67.2,20636,41319,19.5,625.58,69.5,69.42037789
Mississippi ,AR,44235,46480,26.7,13.4,51.3,62.8,34.9,0.5,4,1.8,77.8,13,3002,18.2,58.8,18905,36428,24.9,900.57,51.6,49.11889137
Monroe ,AR,7582,8149,21.2,20.3,52.5,56.7,40.3,0.6,2.2,0.8,75.3,11.3,629,19.5,63.5,16939,27263,28.8,607.12,13.4,12.48847015
Montgomery ,AR,9082,9487,19.2,25.4,50.1,95.1,0.6,0.7,3.6,1.7,82.3,12.9,1139,25.9,79.8,19021,31345,22,779.88,12.2,11.64538134
Nevada ,AR,8723,8997,22.7,19.4,50.6,67.1,30.5,0.4,3.3,1,82.1,12.8,762,25.1,73.1,18695,33694,26.5,617.84,14.6,14.11854202
Newton ,AR,7904,8330,19.5,24.3,49.5,95.5,0.3,0.3,1.8,0.8,79.8,12.7,838,37.7,82.5,17884,30038,23.5,820.9,10.1,9.628456572
Ouachita ,AR,24828,26120,23,18.3,52.6,57,40.3,0.5,2.2,1,84.7,15.5,2039,22.7,66.3,18975,32015,23.1,732.78,35.6,33.88192909
Perry ,AR,10245,10445,22.1,17.9,50.3,94.8,2.2,0.2,2.8,0.8,84.6,11.9,1002,34.8,79.5,22047,42455,15.6,551.4,18.9,18.57997824
Phillips ,AR,19930,21757,27.2,16.3,53,36.5,61.6,0.4,1.7,0.6,72.8,12,1271,18.3,54.5,16830,26737,33.5,695.66,31.3,28.6490527
Pike ,AR,11024,11291,22.8,18.6,50.2,93.3,3.5,0.7,6.6,3.7,80.1,13.8,862,24.1,73.1,18377,32206,24.8,600.62,18.8,18.35436715
Poinsett ,AR,24246,24583,23.7,17.1,51.4,89.8,8,0.3,2.7,1.3,73.3,8.6,1835,23.5,62.5,16919,32089,28.1,758.39,32.4,31.97035826
Polk ,AR,20225,20662,23.4,21.7,50.8,94.5,0.5,0.6,6.4,2.8,85.1,12.3,2163,20.3,77,19116,32835,23.1,857.68,24.1,23.58105587
