Geography,total_2008,native_2008,state_native_2008,foreign_born_est_2008,foreign_born_est_no_citizen_2008,precent_foreign_born_2008,percent_born_out_of_state_2008
"Marathon County, Wisconsin",130962,126594,103243,4368,2487,0.033353186,0.211656816
"Milwaukee County, Wisconsin",953328,872359,659466,80969,50004,0.084932993,0.308248578
"Outagamie County, Wisconsin",174993,168830,141222,6163,3108,0.035218552,0.192984862
"Ozaukee County, Wisconsin",85874,82283,63287,3591,1194,0.041817081,0.263024897
"Portage County, Wisconsin",68744,66232,54185,2512,953,0.036541371,0.211785756
"Racine County, Wisconsin",199510,192571,145069,6939,4230,0.034780212,0.27287354
"Rock County, Wisconsin",160213,152391,115497,7822,4872,0.048822505,0.279103444
"St. Croix County, Wisconsin",82487,80889,34928,1598,546,0.01937275,0.57656358
"Sheboygan County, Wisconsin",114561,110073,91010,4488,2467,0.039175636,0.205576069
"Walworth County, Wisconsin",100749,93039,56080,7710,3822,0.076526814,0.443369165
"Washington County, Wisconsin",129477,125214,106943,4263,2065,0.032924767,0.174038632
"Waukesha County, Wisconsin",380629,364453,289456,16176,7435,0.042498076,0.239532458
"Winnebago County, Wisconsin",162111,158020,132224,4091,2762,0.025235795,0.184361333
"Wood County, Wisconsin",73756,72231,60116,1525,724,0.020676284,0.184934107
"Laramie County, Wyoming",87542,84654,35340,2888,1201,0.032989879,0.596308058
"Natrona County, Wyoming",73129,72141,34807,988,338,0.013510372,0.524032873
